,movie_name,movie_rank,movie_year,movie_dir,critic_name,critic_org,critic_cn
210, Amour ,1,2012,Michael Haneke,Utpal Borpujari,Freelance film critic,India
211, A Separation ,2,2011,Asghar Farhadi,Utpal Borpujari,Freelance film critic,India
212, In the Mood for Love ,3,2000,Wong Kar-wai,Utpal Borpujari,Freelance film critic,India
213, A Prophet ,4,2009,Jacques Audiard,Utpal Borpujari,Freelance film critic,India
214, Monsoon Wedding ,5,2001,Mira Nair,Utpal Borpujari,Freelance film critic,India
215, Son of Saul ,6,2015,László Nemes,Utpal Borpujari,Freelance film critic,India
216, Thithi ,7,2015,Raam Reddy,Utpal Borpujari,Freelance film critic,India
217, Blue Is the Warmest Color ,8,2013,Abdellatif Kechiche,Utpal Borpujari,Freelance film critic,India
218, No Man's Land ,9,2001,Danis Tanovic,Utpal Borpujari,Freelance film critic,India
219, Waltz with Bashir ,10,2008,Ari Folman,Utpal Borpujari,Freelance film critic,India
300, No Country For Old Men ,1,2007,Joel and Ethan Coen,Cho Seongyong,Freelance film critic,South Korea
301, Boyhood ,2,2014,Richard Linklater,Cho Seongyong,Freelance film critic,South Korea
302, Mulholland Drive ,3,2001,David Lynch,Cho Seongyong,Freelance film critic,South Korea
303, Almost Famous ,4,2000,Cameron Crowe,Cho Seongyong,Freelance film critic,South Korea
304," Synecdoche, New York ",5,2008,Charlie Kaufman,Cho Seongyong,Freelance film critic,South Korea
305, Pan's Labyrinth ,6,2006,Guillermo Del Toro,Cho Seongyong,Freelance film critic,South Korea
306, Minority Report ,7,2002,Steven Spielberg,Cho Seongyong,Freelance film critic,South Korea
307, The Social Network ,8,2010,David Fincher,Cho Seongyong,Freelance film critic,South Korea
308, The Tree of Life ,9,2011,Terrence Malick,Cho Seongyong,Freelance film critic,South Korea
309, Memories of Murder ,10,2003,Bong Joon-ho,Cho Seongyong,Freelance film critic,South Korea
620, Ankhon Dekhi ,1,2013,Rajat Kapoor,Shubhra Gupta,The Indian Express,India
621, Court ,2,2014,Chaitanya Tamhane,Shubhra Gupta,The Indian Express,India
622," LSD: Love, Sex Aur Dhokha ",3,2010,Dibakar Banerjee,Shubhra Gupta,The Indian Express,India
623, Monsoon Wedding ,4,2001,Mira Nair,Shubhra Gupta,The Indian Express,India
624, Dev D ,5,2009,Anurag Kashyap,Shubhra Gupta,The Indian Express,India
625, Paan Singh Tomar ,6,2012,Tigmanshu Dhulia,Shubhra Gupta,The Indian Express,India
626, Udaan ,7,2010,Vikramaditya Motwane,Shubhra Gupta,The Indian Express,India
627, Hazaaron Khwaishein Aisi ,8,2003,Sudhir Mishra,Shubhra Gupta,The Indian Express,India
628, Maqbool ,9,2003,Vishal Bhardwaj,Shubhra Gupta,The Indian Express,India
629, Lagaan: Once Upon a Time in India ,10,2001,Ashutosh Gowariker,Shubhra Gupta,The Indian Express,India
670, Notre musique ,1,2004,Jean-Luc Godard,Shiguehiko Hasumi,University of Tokyo,Japan
671, Triple Agent ,2,2004,Éric Rohmer,Shiguehiko Hasumi,University of Tokyo,Japan
672, The Assassin ,3,2015,Hou Hsiao-hsien,Shiguehiko Hasumi,University of Tokyo,Japan
673, Gran Torino ,4,2008,Clint Eastwood,Shiguehiko Hasumi,University of Tokyo,Japan
674, Horse Money ,5,2014,Pedro Costa,Shiguehiko Hasumi,University of Tokyo,Japan
675, Fantastic Mr Fox ,6,2012,Wes Anderson,Shiguehiko Hasumi,University of Tokyo,Japan
676, Holy Motors ,7,2012,Leos Carax,Shiguehiko Hasumi,University of Tokyo,Japan
677, Death Proof – Grindhouse ,8,2007,Quentin Tarantino,Shiguehiko Hasumi,University of Tokyo,Japan
678, Déjà Vu ,9,2006,Tony Scott,Shiguehiko Hasumi,University of Tokyo,Japan
679, Seventh Code ,10,2013,Kiyoshi Kurosawa,Shiguehiko Hasumi,University of Tokyo,Japan
750, The Dark Knight ,1,2008,Christopher Nolan,Aysha Iqbal,Indian Institute of Technology,India
751, Inception ,2,2010,Christopher Nolan,Aysha Iqbal,Indian Institute of Technology,India
752, Hero ,3,2002,Zhang Yimou,Aysha Iqbal,Indian Institute of Technology,India
753, Inglourious Basterds ,4,2009,Quentin Tarantino,Aysha Iqbal,Indian Institute of Technology,India
754, The Wolf of Wall Street ,5,2013,Martin Scorsese,Aysha Iqbal,Indian Institute of Technology,India
755, Chakde! India ,6,2007,Shimit Amin,Aysha Iqbal,Indian Institute of Technology,India
756, In the Mood for Love ,7,2000,Wong Kar-wai,Aysha Iqbal,Indian Institute of Technology,India
757, No Country For Old Men ,8,2007,Joel and Ethan Coen,Aysha Iqbal,Indian Institute of Technology,India
758, Maqbool ,9,2003,Vishal Bhardwaj,Aysha Iqbal,Indian Institute of Technology,India
759, The Lives of Others ,10,2006,Florian Henckel von Donnersmarck,Aysha Iqbal,Indian Institute of Technology,India
760, The Pianist ,1,2002,Roman Polanski,Zhanna Issabayeva,Freelance film critic,Kazakhstan
761, Only Lovers Left Alive ,2,2013,Jim Jarmusch,Zhanna Issabayeva,Freelance film critic,Kazakhstan
762, Uncle Boonmee Who Can Recall His Past Lives ,3,2010,Apichatpong Weerasethakul,Zhanna Issabayeva,Freelance film critic,Kazakhstan
