,Unnamed: 0,movie_name,movie_rank,movie_year,movie_dir,critic_name,critic_org,critic_cn
0,0, Mulholland Drive ,1,2001,David Lynch,Simon Abrams,Freelance film critic,US
1,1, In the Mood for Love ,2,2000,Wong Kar-wai,Simon Abrams,Freelance film critic,US
2,2, The Tree of Life ,3,2011,Terrence Malick,Simon Abrams,Freelance film critic,US
3,3, Yi Yi: A One and a Two ,4,2000,Edward Yang,Simon Abrams,Freelance film critic,US
4,4, Goodbye to Language ,5,2014,Jean-Luc Godard,Simon Abrams,Freelance film critic,US
5,5, The White Meadows ,6,2009,Mohammad Rasoulof,Simon Abrams,Freelance film critic,US
6,6, Night Across the Street ,7,2012,Raoul Ruiz,Simon Abrams,Freelance film critic,US
7,7, Certified Copy ,8,2010,Abbas Kiarostami,Simon Abrams,Freelance film critic,US
8,8, Sparrow ,9,2008,Johnnie To,Simon Abrams,Freelance film critic,US
9,9, Fados ,10,2007,Carlos Saura,Simon Abrams,Freelance film critic,US
10,10, In the Mood for Love ,1,2000,Wong Kar-wai,Sam Adams,Freelance film critic,US
11,11, Eternal Sunshine of the Spotless Mind ,2,2004,Michel Gondry,Sam Adams,Freelance film critic,US
12,12, Syndromes and a Century ,3,2006,Apichatpong Weerasethakul,Sam Adams,Freelance film critic,US
13,13, Spirited Away ,4,2001,Hayao Miyazaki,Sam Adams,Freelance film critic,US
14,14, The Act of Killing ,5,2012,Joshua Oppenheimer,Sam Adams,Freelance film critic,US
15,15, The Grand Budapest Hotel ,6,2014,Wes Anderson,Sam Adams,Freelance film critic,US
16,16, The New World ,7,2004,Terrence Malick,Sam Adams,Freelance film critic,US
17,17, Certified Copy ,8,2010,Abbas Kiarostami,Sam Adams,Freelance film critic,US
18,18, The World ,9,2004,Jia Zhangke,Sam Adams,Freelance film critic,US
19,19, Elephant ,10,2003,Gus Van Sant,Sam Adams,Freelance film critic,US
20,20, Zero Dark Thirty ,1,2012,Kathryn Bigelow,Thelma Adams,Freelance film critic,US
21,21, A History of Violence ,2,2005,David Cronenberg,Thelma Adams,Freelance film critic,US
22,22, The Grand Budapest Hotel ,3,2014,Wes Anderson,Thelma Adams,Freelance film critic,US
23,23, Stories We Tell ,4,2012,Sarah Polley,Thelma Adams,Freelance film critic,US
24,24, Casino Royale ,5,2006,Martin Campbell,Thelma Adams,Freelance film critic,US
25,25, Eternal Sunshine of the Spotless Mind ,6,2004,Michel Gondry,Thelma Adams,Freelance film critic,US
26,26, Tabu ,7,2012,Miguel Gomes,Thelma Adams,Freelance film critic,US
27,27, Snow White ,8,2012,Pablo Berger,Thelma Adams,Freelance film critic,US
28,28, Frozen River ,9,2008,Courtney Hunt,Thelma Adams,Freelance film critic,US
29,29, Gosford Park ,10,2001,Robert Altman,Thelma Adams,Freelance film critic,US
30,30, In the Mood for Love ,1,2000,Wong Kar-wai,Arturo Aguilar,Rolling Stone Mexico,Mexico
31,31, Mulholland Drive ,2,2001,David Lynch,Arturo Aguilar,Rolling Stone Mexico,Mexico
32,32, Inception ,3,2010,Christopher Nolan,Arturo Aguilar,Rolling Stone Mexico,Mexico
33,33, Pan's Labyrinth ,4,2006,Guillermo Del Toro,Arturo Aguilar,Rolling Stone Mexico,Mexico
34,34, Caché ,5,2005,Michael Haneke,Arturo Aguilar,Rolling Stone Mexico,Mexico
35,35, Grizzly Man ,6,2005,Werner Herzog,Arturo Aguilar,Rolling Stone Mexico,Mexico
36,36," 4 Months, 3 Weeks & 2 Days ",7,2007,Cristian Mungiu,Arturo Aguilar,Rolling Stone Mexico,Mexico
37,37, Holy Motors ,8,2012,Leos Carax,Arturo Aguilar,Rolling Stone Mexico,Mexico
38,38, The Last of the Unjust ,9,2013,Claude Lanzmann,Arturo Aguilar,Rolling Stone Mexico,Mexico
39,39, There Will Be Blood ,10,2007,Paul Thomas Anderson,Arturo Aguilar,Rolling Stone Mexico,Mexico
40,40, The Piano Teacher ,1,2001,Michael Haneke,Matthew Anderson,BBC Culture,UK
41,41, Margaret ,2,2011,Kenneth Lonergan,Matthew Anderson,BBC Culture,UK
42,42, American Psycho ,3,2000,Mary Harron,Matthew Anderson,BBC Culture,UK
43,43," 4 Months, 3 Weeks & 2 Days ",4,2007,Cristian Mungiu,Matthew Anderson,BBC Culture,UK
44,44, Caché ,5,2005,Michael Haneke,Matthew Anderson,BBC Culture,UK
45,45, Mulholland Drive ,6,2001,David Lynch,Matthew Anderson,BBC Culture,UK
46,46, Lourdes ,7,2009,Jessica Hausner,Matthew Anderson,BBC Culture,UK
47,47, Red Road ,8,2006,Andrea Arnold,Matthew Anderson,BBC Culture,UK
48,48, Boyhood ,9,2014,Richard Linklater,Matthew Anderson,BBC Culture,UK
49,49, Tony Manero ,10,2008,Pablo Larraín,Matthew Anderson,BBC Culture,UK
50,50, No Country For Old Men ,1,2007,Joel and Ethan Coen,Tim Appelo,The Wrap,US
51,51, Spirited Away ,2,2001,Hayao Miyazaki,Tim Appelo,The Wrap,US
52,52, A Separation ,3,2011,Asghar Farhadi,Tim Appelo,The Wrap,US
53,53, Pan's Labyrinth ,4,2006,Guillermo Del Toro,Tim Appelo,The Wrap,US
54,54, Finding Nemo ,5,2003,Andrew Stanton and Lee Unkrich,Tim Appelo,The Wrap,US
